Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Renda
2014,8,Nou Barris,44,Vilapicina i la Torre Llobeta,12480.0
2014,7,Horta-Guinardó,43,Horta,16029.000000000002
2014,7,Horta-Guinardó,42,la Clota,17569.5
2014,7,Horta-Guinardó,41,la Vall d'Hebron,16945.500000000004
2014,8,Nou Barris,55,Ciutat Meridiana,7644.0
2014,8,Nou Barris,47,Can Peguera,9945.0
2014,8,Nou Barris,56,Vallbona,7780.499999999999
2014,9,Sant Andreu,58,Baró de Viver,11797.5
2014,7,Horta-Guinardó,39,Sant Genís dels Agudells,15600.0
2014,10,Sant Martí,73,la Verneda i la Pau,11154.000000000002
2014,10,Sant Martí,72,Sant Martí de Provençals,13181.999999999998
2014,10,Sant Martí,71,Provençals del Poblenou,17881.5
2014,10,Sant Martí,70,el Besòs i el Maresme,11485.5
2014,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,32916.0
2014,10,Sant Martí,68,el Poblenou,18603.0
2014,9,Sant Andreu,57,la Trinitat Vella,8950.5
2014,10,Sant Martí,67,la Vila Olímpica del Poblenou,29406.0
2014,10,Sant Martí,65,el Clot,15795.000000000002
2014,10,Sant Martí,64,el Camp de l'Arpa del Clot,15775.500000000002
2014,9,Sant Andreu,63,Navas,16243.5
2014,9,Sant Andreu,62,el Congrés i els Indians,14176.5
2014,9,Sant Andreu,61,la Sagrera,14605.500000000002
2014,9,Sant Andreu,60,Sant Andreu,14936.999999999998
2014,9,Sant Andreu,59,el Bon Pastor,11622.0
2014,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,17276.999999999996
2014,7,Horta-Guinardó,38,la Teixonera,13571.999999999998
2014,7,Horta-Guinardó,37,el Carmel,11037.000000000002
2014,7,Horta-Guinardó,36,la Font d'en Fargues,19890.0
2014,3,Sants-Montjuïc,16,la Bordeta,14820.0
2014,3,Sants-Montjuïc,15,Hostafrancs,14976.0
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,15131.999999999998
2014,3,Sants-Montjuïc,13,la Marina de Port,14040.0
2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,7682.999999999999
2014,3,Sants-Montjuïc,11,el Poble Sec,12928.499999999998
2014,2,Eixample,10,Sant Antoni,19071.0
2014,2,Eixample,9,la Nova Esquerra de l'Eixample,21274.5
2014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,24921.0
2014,2,Eixample,7,la Dreta de l'Eixample,32233.5
2014,2,Eixample,6,la Sagrada Família,18018.0
2014,2,Eixample,5,el Fort Pienc,20377.5
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18037.5
2014,1,Ciutat Vella,3,la Barceloneta,16477.5
2014,1,Ciutat Vella,2,el Barri Gòtic,19207.5
2014,3,Sants-Montjuïc,17,Sants - Badal,15521.999999999998
2014,3,Sants-Montjuïc,18,Sants,16731.0
2014,1,Ciutat Vella,1,el Raval,12850.5
2014,4,Les Corts,20,la Maternitat i Sant Ramon,21956.999999999996
2014,4,Les Corts,19,les Corts,24453.0
2014,7,Horta-Guinardó,35,el Guinardó,15989.999999999998
2014,7,Horta-Guinardó,34,Can Baró,15093.0
2014,7,Horta-Guinardó,33,el Baix Guinardó,16887.0
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,20221.5
2014,6,Gràcia,30,la Salut,20923.5
2014,6,Gràcia,29,el Coll,15911.999999999998
2014,6,Gràcia,31,la Vila de Gràcia,23029.5
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,27339.0
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,37459.5
2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,37401.0
2014,5,Sarrià-Sant Gervasi,24,les Tres Torres,42471.0
2014,5,Sarrià-Sant Gervasi,23,Sarrià,38064.0
2014,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",31746.000000000004
2014,4,Les Corts,21,Pedralbes,49081.5
2014,6,Gràcia,28,Vallcarca i els Penitents,19812.0
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,28623.0
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",30795.1
2015,5,Sarrià-Sant Gervasi,23,Sarrià,40417.299999999996
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,43462.3
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,38346.7
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,41635.3
2015,6,Gràcia,28,Vallcarca i els Penitents,22573.600000000002
2015,7,Horta-Guinardó,36,la Font d'en Fargues,19325.600000000002
2015,6,Gràcia,30,la Salut,23223.200000000004
2015,6,Gràcia,31,la Vila de Gràcia,21578.899999999998
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,20909.0
2015,7,Horta-Guinardó,33,el Baix Guinardó,18351.2
2015,7,Horta-Guinardó,34,Can Baró,17884.3
2015,7,Horta-Guinardó,35,el Guinardó,16788.100000000002
2015,4,Les Corts,21,Pedralbes,50851.5
2015,6,Gràcia,29,el Coll,18067.0
2015,4,Les Corts,20,la Maternitat i Sant Ramon,22309.7
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,7490.7
2015,3,Sants-Montjuïc,18,Sants,17904.6
2015,7,Horta-Guinardó,37,el Carmel,11550.699999999999
2015,1,Ciutat Vella,3,la Barceloneta,15549.799999999997
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19569.2
2015,2,Eixample,5,el Fort Pienc,21274.4
2015,2,Eixample,6,la Sagrada Família,19447.399999999998
2015,2,Eixample,7,la Dreta de l'Eixample,33657.4
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,26166.700000000004
